"state","puma12","ur","pop10","afact"
"State code","PUMA (2012)","Urban/rural","Population (2010)","puma12 to ur allocation factor"
"05","01500","U",29148,0.2824 
"05","01600","R",79146,0.4903 
"05","01600","U",82283,0.5097 
"05","01700","R",39543,0.3705 
"05","01700","U",67186,0.6295 
"05","01800","R",63706,0.5949 
"05","01800","U",43373,0.4051 
"05","01900","R",61168,0.5782 
"05","01900","U",44627,0.4218 
"05","02000","R",64184,0.5989 
"05","02000","U",42991,0.4011 
"06","00101","U",131119,1 
"06","00102","U",158091,1 
"06","00103","R",9,0.0001 
"06","00103","U",125220,0.9999 
"06","00104","U",124608,1 
"06","00105","U",163534,1 
"06","00106","R",364,0.0027 
"06","00106","U",134388,0.9973 
"06","00107","R",267,0.0018 
"06","00107","U",145388,0.9982 
"06","00108","R",53,0.0004 
"06","00108","U",135349,0.9996 
"06","00109","R",1244,0.0066 
"06","00109","U",188520,0.9934 
"06","00110","R",3932,0.0195 
"06","00110","U",198185,0.9805 
"06","00300","R",119042,0.6226 
"06","00300","U",72166,0.3774 
"06","00701","R",13213,0.1186 
"06","00701","U",98176,0.8814 
"06","00702","R",28371,0.2612 
"06","00702","U",80240,0.7388 
"06","01100","R",64751,0.5107 
"06","01100","U",62039,0.4893 
"06","01301","R",38,0.0003 
"06","01301","U",114739,0.9997 
"06","01302","R",12,0.0001 
"06","01302","U",118659,0.9999 
"06","01303","R",910,0.007 
"06","01303","U",128715,0.993 
"06","01304","R",939,0.008 
"06","01304","U",116845,0.992 
"06","01305","R",1764,0.0142 
"06","01305","U",122821,0.9858 
"06","01306","R",296,0.0026 
"06","01306","U",111915,0.9974 
"06","01307","R",202,0.0017 
"06","01307","U",120272,0.9983 
"06","01308","R",764,0.0071 
"06","01308","U",106449,0.9929 
"06","01309","R",3391,0.0327 
"06","01309","U",100294,0.9673 
"06","01500","R",85386,0.6183 
"06","01500","U",52712,0.3817 
"06","01700","R",62827,0.347 
"06","01700","U",118231,0.653 
"06","01901","R",53517,0.3698 
"06","01901","U",91207,0.6302 
"06","01902","R",323,0.0019 
"06","01902","U",173326,0.9981 
"06","01903","U",101880,1 
"06","01904","R",3468,0.0204 
"06","01904","U",166672,0.9796 
"06","01905","R",1059,0.0098 
"06","01905","U",107118,0.9902 
"06","01906","R",2983,0.0291 
"06","01906","U",99659,0.9709 
"06","01907","R",39187,0.3032 
"06","01907","U",90051,0.6968 
"06","02300","R",40062,0.2976 
"06","02300","U",94561,0.7024 
"06","02500","R",30399,0.1742 
"06","02500","U",144129,0.8258 
"06","02901","R",28745,0.1513 
"06","02901","U",161217,0.8487 
"06","02902","R",1001,0.005 
"06","02902","U",199369,0.995 
"06","02903","R",1355,0.0087 
"06","02903","U",153789,0.9913 
"06","02904","R",2173,0.0201 
"06","02904","U",105677,0.9799 
"06","02905","R",52419,0.2814 
"06","02905","U",133886,0.7186 
"06","03100","R",16601,0.1085 
"06","03100","U",136381,0.8915 
"06","03300","R",61139,0.4009 
"06","03300","U",91367,0.5991 
"06","03701","R",36857,0.2636 
"06","03701","U",102944,0.7364 
"06","03702","R",1359,0.0072 
"06","03702","U",186743,0.9928 
"06","03703","R",3827,0.0234 
"06","03703","U",159805,0.9766 
"06","03704","R",1265,0.0077 
"06","03704","U",163003,0.9923 
"06","03705","U",166932,1 
"06","03706","R",392,0.0029 
"06","03706","U",136022,0.9971 
"06","03707","U",150967,1 
"06","03708","R",151,0.0011 
"06","03708","U",136682,0.9989 
"06","03709","R",340,0.0031 
"06","03709","U",109862,0.9969 
"06","03710","R",116,0.0007 
"06","03710","U",173921,0.9993 
"06","03711","R",397,0.0024 
"06","03711","U",163544,0.9976 
"06","03712","U",146895,1 
"06","03713","U",109666,1 
"06","03714","U",109128,1 
"06","03715","U",120111,1 
"06","03716","U",110351,1 
"06","03717","U",189098,1 
"06","03718","U",135128,1 
"06","03719","R",296,0.0016 
"06","03719","U",190494,0.9984 
"06","03720","R",14,0.0001 
"06","03720","U",118129,0.9999 
"06","03721","U",133453,1 
"06","03722","U",159310,1 
"06","03723","U",141253,1 
"06","03724","U",167320,1 
"06","03725","U",168469,1 
"06","03726","R",12219,0.1204 
"06","03726","U",89284,0.8796 
"06","03727","R",1747,0.0115 
"06","03727","U",149521,0.9885 
"06","03728","U",102511,1 
"06","03729","U",195763,1 
"06","03730","U",164376,1 
"06","03731","U",108399,1 
"06","03732","U",176714,1 
"06","03733","U",112679,1 
"06","03734","U",195576,1 
"06","03735","U",193764,1 
"06","03736","U",114737,1 
"06","03737","U",128448,1 
"06","03738","U",131401,1 
"06","03739","U",166483,1 
"06","03740","U",128628,1 
"06","03741","U",143492,1 
"06","03742","U",131781,1 
"06","03743","U",124007,1 
"06","03744","U",170583,1 
"06","03745","U",122254,1 
"06","03746","U",109831,1 
"06","03747","U",158277,1 
"06","03748","U",177765,1 
"06","03749","U",113695,1 
"06","03750","U",172913,1 
"06","03751","U",148133,1 
"06","03752","U",171357,1 
"06","03753","U",110238,1 
"06","03754","U",136000,1 
"06","03755","U",121204,1 
"06","03756","U",117361,1 
"06","03757","U",156629,1 
"06","03758","U",153930,1 
"06","03759","U",112990,1 
"06","03760","U",138043,1 
"06","03761","U",125349,1 
"06","03762","U",112822,1 
"06","03763","U",142620,1 
"06","03764","U",159116,1 
"06","03765","U",130093,1 
"06","03766","U",102211,1 
"06","03767","U",177298,1 
"06","03768","R",444,0.004 
"06","03768","U",111010,0.996 
"06","03769","U",100665,1 
"06","03900","R",49672,0.3292 
"06","03900","U",101193,0.6708 
"06","04101","R",16426,0.1567 
"06","04101","U",88421,0.8433 
"06","04102","R",31,0.0002 
"06","04102","U",147531,0.9998 
"06","04701","R",26809,0.2563 
"06","04701","U",77808,0.7437 
"06","04702","R",9701,0.0642 
"06","04702","U",141475,0.9358 
"06","05301","R",24993,0.1428 
"06","05301","U",149974,0.8572 
"06","05302","R",3959,0.0243 
"06","05302","U",159244,0.9757 
"06","05303","R",25057,0.1896 
"06","05303","U",107099,0.8104 
"06","05500","R",18290,0.134 
"06","05500","U",118194,0.866 
"06","05700","R",44845,0.4396 
"06","05700","U",57159,0.5604 
"06","05901","U",177692,1 
"06","05902","U",105909,1 
"06","05903","R",442,0.0022 
"06","05903","U",198335,0.9978 
"06","05904","R",23,0.0001 
"06","05904","U",200177,0.9999 
"06","05905","R",1592,0.0081 
"06","05905","U",195865,0.9919 
"06","05906","R",651,0.0037 
"06","05906","U",176356,0.9963 
"06","05907","U",189619,1 
"06","05908","U",177943,1 
"06","05909","U",146177,1 
"06","05910","U",190565,1 
"06","05911","U",137924,1 
"06","05912","U",166905,1 
"06","05913","U",159887,1 
"06","05914","U",190243,1 
"06","05915","R",1607,0.0161 
"06","05915","U",98437,0.9839 
"06","05916","U",151620,1 
"06","05917","U",164806,1 
"06","05918","U",177457,1 
"06","06101","R",2284,0.0184 
"06","06101","U",121852,0.9816 
"06","06102","R",3318,0.0295 
"06","06102","U",109147,0.9705 
"06","06103","R",42437,0.3795 
"06","06103","U",69394,0.6205 
"06","06501","R",24881,0.1381 
"06","06501","U",155337,0.8619 
"06","06502","R",14202,0.1084 
"06","06502","U",116815,0.8916 
"06","06503","R",8137,0.0638 
"06","06503","U",119363,0.9362 
"06","06504","R",1996,0.0157 
"06","06504","U",124837,0.9843 
"06","06505","R",5425,0.0308 
"06","06505","U",170488,0.9692 
"06","06506","R",11327,0.0767 
"06","06506","U",136323,0.9233 
"06","06507","R",10277,0.0713 
"06","06507","U",133768,0.9287 
"06","06508","R",2435,0.0134 
"06","06508","U",179917,0.9866 
"06","06509","R",9098,0.0772 
"06","06509","U",108764,0.9228 
"06","06510","R",991,0.0067 
"06","06510","U",146171,0.9933 
"06","06511","U",164560,1 
"06","06512","R",1445,0.0144 
"06","06512","U",99020,0.9856 
"06","06513","U",145277,1 
"06","06514","R",57,0.0004 
"06","06514","U",148615,0.9996 
"06","06515","R",10941,0.0729 
"06","06515","U",139174,0.9271 
"06","06701","U",105079,1 
"06","06702","R",1816,0.0164 
"06","06702","U",109052,0.9836 
"06","06703","U",109370,1 
"06","06704","U",119698,1 
"06","06705","R",298,0.0029 
"06","06705","U",103945,0.9971 
"06","06706","R",812,0.007 
"06","06706","U",115823,0.993 
"06","06707","U",113698,1 
"06","06708","R",1181,0.0089 
"06","06708","U",131877,0.9911 
"06","06709","U",137826,1 
"06","06710","R",1275,0.0084 
"06","06710","U",151367,0.9916 
"06","06711","R",23875,0.2242 
"06","06711","U",82626,0.7758 
"06","06712","U",109170,1 
"06","07101","R",45032,0.3229 
"06","07101","U",94415,0.6771 
"06","07102","R",3081,0.019 
"06","07102","U",158915,0.981 
"06","07103","R",4781,0.0286 
"06","07103","U",162265,0.9714 
"06","07104","R",33711,0.3056 
"06","07104","U",76604,0.6944 
"06","07105","R",3604,0.0262 
"06","07105","U",133797,0.9738 
"06","07106","R",489,0.0048 
"06","07106","U",102172,0.9952 
"06","07107","R",144,0.0014 
"06","07107","U",106145,0.9986 
"06","07108","U",169385,1 
"06","07109","U",108455,1 
"06","07110","U",106132,1 
"06","07111","R",138,0.0008 
"06","07111","U",165038,0.9992 
"06","07112","U",120986,1 
"06","07113","R",1097,0.0066 
"06","07113","U",166178,0.9934 
"06","07114","R",4280,0.0276 
"06","07114","U",150932,0.9724 
"06","07115","U",117434,1 
"06","07301","R",6444,0.0338 
"06","07301","U",184190,0.9662 
"06","07302","R",60093,0.5149 
"06","07302","U",56608,0.4851 
"06","07303","R",1721,0.0161 
"06","07303","U",105250,0.9839 
"06","07304","U",114712,1 
"06","07305","R",1175,0.0102 
"06","07305","U",114342,0.9898 
"06","07306","R",2789,0.0203 
"06","07306","U",134680,0.9797 
"06","07307","R",14287,0.1354 
"06","07307","U",91248,0.8646 
"06","07308","R",3231,0.0259 
"06","07308","U",121504,0.9741 
"06","07309","R",2120,0.0131 
"06","07309","U",159526,0.9869 
"06","07310","U",167154,1 
"06","07311","U",111161,1 
"06","07312","U",110017,1 
"06","07313","U",175677,1 
"06","07314","R",624,0.0042 
"06","07314","U",147576,0.9958 
"06","07315","U",151208,1 
"06","07316","U",165573,1 
"06","07317","U",163042,1 
"06","07318","U",155805,1 
"06","07319","R",7171,0.0553 
"06","07319","U",122599,0.9447 
"06","07320","R",2096,0.0155 
"06","07320","U",133224,0.9845 
"06","07321","U",173552,1 
"06","07322","R",303,0.0022 
"06","07322","U",134611,0.9978 
"06","07501","U",136936,1 
"06","07502","U",107027,1 
"06","07503","U",129066,1 
"06","07504","U",106640,1 
"06","07505","U",105336,1 
"06","07506","U",110830,1 
"06","07507","U",109400,1 
"06","07701","R",611,0.0035 
"06","07701","U",173326,0.9965 
"06","07702","U",152010,1 
"06","07703","R",12715,0.065 
"06","07703","U",182821,0.935 
"06","07704","R",44739,0.2731 
"06","07704","U",119084,0.7269 
"06","07901","R",11014,0.0676 
"06","07901","U",152035,0.9324 
"06","07902","R",33736,0.3165 
"06","07902","U",72852,0.6835 
"06","08101","U",137297,1 
"06","08102","U",117380,1 
"06","08103","R",4,0 
"06","08103","U",104254,1 
"06","08104","R",8181,0.0689 
"06","08104","U",110523,0.9311 
"06","08105","R",644,0.0051 
"06","08105","U",126601,0.9949 
"06","08106","R",4757,0.0419 
"06","08106","U",108810,0.9581 
"06","08301","R",252,0.0021 
"06","08301","U",121424,0.9979 
"06","08302","R",15534,0.1515 
