"state","puma12","cbsa","pop10","afact"
"State code","PUMA (2012)","CBSA (current)","Population (2010)","puma12 to cbsa allocation factor"
"17","00202"," ",17707,0.098 
"17","00202","15460",7331,0.0406 
"17","00202","15900",37069,0.2051 
"17","00202","19340",66920,0.3702 
"17","00202","22800",19104,0.1057 
"17","00202","31380",32612,0.1804 
"17","00300"," ",45577,0.4045 
"17","00300","39500",67103,0.5955 
"17","00401"," ",27528,0.1908 
"17","00401","27300",40902,0.2835 
"17","00401","41180",75839,0.5257 
"17","00501"," ",52244,0.3679 
"17","00501","20820",34242,0.2411 
"17","00501","41180",55530,0.391 
"17","00600"," ",38556,0.3726 
"17","00600","16660",64921,0.6274 
"17","00700"," ",109491,1 
"17","00800"," ",117633,0.8325 
"17","00800","16020",8238,0.0583 
"17","00800","37140",15429,0.1092 
"17","00900"," ",61911,0.3285 
"17","00900","16060",126575,0.6715 
"17","01001"," ",48192,0.3023 
"17","01001","16460",39437,0.2474 
"17","01001","34500",38827,0.2436 
"17","01001","41180",32957,0.2067 
"17","01104","41180",150929,1 
"17","01105","41180",119127,1 
"17","01204","41180",121372,1 
"17","01205","41180",147910,1 
"17","01300","44100",197465,1 
"17","01500","19500",110768,1 
"17","01602"," ",37209,0.2509 
"17","01602","14010",16561,0.1117 
"17","01602","16580",16729,0.1128 
"17","01602","30660",30305,0.2043 
"17","01602","44100",12705,0.0857 
"17","01602","45380",34800,0.2346 
"17","01701","37900",186494,1 
"17","01900","37900",135394,1 
"17","02000","14010",169572,1 
"17","02100","16580",201081,1 
"17","02200"," ",29718,0.1808 
"17","02200","16580",14081,0.0857 
"17","02200","19180",81625,0.4966 
"17","02200","38700",38950,0.237 
"17","02300","28100",113449,1 
"17","02400","36860",113924,1 
"17","02501","23660",52919,0.35 
"17","02501","36860",40984,0.2711 
"17","02501","37900",57298,0.379 
"17","02601","16980",105160,1 
"17","02700","23300",47711,0.4714 
"17","02700","40300",53497,0.5286 
"17","02801","40420",204179,1 
"17","02901","40420",145252,1 
"17","03005","16980",146149,1 
"17","03007","16980",116717,1 
"17","03008","16980",138542,1 
"17","03009","16980",113861,1 
"17","03102","16980",133389,1 
"17","03105","16980",140328,1 
"17","03106","16980",169265,1 
"17","03107","16980",123191,1 
"17","03108","16980",111387,1 
"17","03202","16980",117061,1 
"17","03203","16980",116268,1 
"17","03204","16980",146795,1 
"17","03205","16980",123449,1 
"17","03207","16980",116449,1 
"17","03208","16980",177668,1 
"17","03209","16980",119234,1 
"17","03306","16980",159552,1 
"17","03307","16980",141028,1 
"17","03308","16980",113547,1 
"17","03309","16980",155549,1 
"17","03310","16980",133786,1 
"17","03401","16980",126645,1 
"17","03407","16980",178470,1 
"17","03408","16980",192426,1 
"17","03409","16980",152460,1 
"17","03410","16980",173605,1 
"17","03411","16980",173435,1 
"17","03412","16980",109799,1 
"17","03413","16980",169326,1 
"17","03414","16980",167649,1 
"17","03415","16980",126488,1 
"17","03416","16980",140526,1 
"17","03417","16980",120995,1 
"17","03418","16980",109831,1 
"17","03419","16980",122032,1 
"17","03420","16980",185920,1 
"17","03421","16980",180368,1 
"17","03422","16980",130093,1 
"17","03501","16980",167874,1 
"17","03502","16980",158484,1 
"17","03503","16980",143302,1 
"17","03504","16980",141340,1 
"17","03520","16980",131504,1 
"17","03521","16980",190683,1 
"17","03522","16980",137867,1 
"17","03523","16980",210091,1 
"17","03524","16980",172082,1 
"17","03525","16980",131157,1 
"17","03526","16980",164118,1 
"17","03527","16980",149010,1 
"17","03528","16980",154389,1 
"17","03529","16980",179950,1 
"17","03530","16980",129231,1 
"17","03531","16980",137491,1 
"17","03532","16980",136034,1 
"17","03601","16980",134473,1 
"17","03602","16980",174287,1 
"17","03700","16980",164799,1 
"18","00101","16980",115525,1 
"18","00102","16980",130516,1 
"18","00103","16980",119826,1 
"18","00104","16980",130138,1 
"18","00200","16980",164343,1 
"18","00300","33140",111467,1 
"18","00401","43780",114008,1 
"18","00402","43780",152923,1 
"18","00500","21140",197559,1 
"18","00600"," ",37128,0.2305 
"18","00600","11420",34185,0.2122 
"18","00600","12140",42223,0.2621 
"18","00600","28340",47536,0.2951 
"18","00700"," ",57601,0.5469 
"18","00700","16980",47722,0.4531 
"18","00800","38500",47051,0.3782 
"18","00800","47700",77358,0.6218 
"18","00900","19540",34387,0.2596 
"18","00900","23060",60928,0.46 
"18","00900","26540",37124,0.2803 
"18","01001","23060",128696,1 
"18","01002","23060",120552,1 
"18","01003","23060",106081,1 
"18","01100"," ",24643,0.1971 
"18","01100","18820",38124,0.305 
"18","01100","23140",33224,0.2658 
"18","01100","29200",29009,0.2321 
"18","01200","29200",172780,1 
"18","01300"," ",15936,0.1158 
"18","01300","29020",82752,0.6012 
"18","01300","30900",38966,0.2831 
"18","01400","31980",70061,0.501 
"18","01400","37940",36903,0.2639 
"18","01400","47340",32888,0.2352 
"18","01500"," ",60190,0.5489 
"18","01500","35220",49462,0.4511 
"18","01600"," ",43087,0.4002 
"18","01600","45460",64577,0.5998 
"18","01700","45460",107848,1 
"18","01801","26900",108188,1 
"18","01802","26900",113910,1 
"18","01803","26900",109111,1 
"18","01900","26900",131636,1 
"18","02000","34620",117671,1 
"18","02100","26900",122099,1 
"18","02200","26900",145448,1 
"18","02301","26900",103387,1 
"18","02302","26900",106557,1 
"18","02303","26900",118447,1 
"18","02304","26900",140897,1 
"18","02305","26900",142787,1 
"18","02306","26900",154027,1 
"18","02307","26900",137291,1 
"18","02400","26900",139654,1 
"18","02500","26900",114438,1 
"18","02600"," ",17392,0.1473 
"18","02600","17140",7516,0.0636 
"18","02600","18220",24277,0.2056 
"18","02600","39980",68917,0.5835 
"18","02700"," ",63339,0.3893 
"18","02700","13260",46134,0.2836 
"18","02700","14020",21575,0.1326 
"18","02700","47780",31648,0.1945 
"18","02800","14020",137974,1 
"18","02900","18020",76794,0.6444 
"18","02900","42980",42376,0.3556 
"18","03000","24700",25740,0.2322 
"18","03000","31140",24181,0.2181 
"18","03000","31500",32428,0.2925 
"18","03000","35860",28525,0.2573 
"18","03100"," ",62518,0.5267 
"18","03100","17140",56175,0.4733 
"18","03200"," ",33503,0.2813 
"18","03200","21780",85599,0.7187 
"18","03300","21780",179703,1 
"18","03400"," ",51003,0.3538 
"18","03400","27540",54734,0.3796 
"18","03400","47180",38440,0.2666 
"18","03500","31140",142204,1 
"18","03600","31140",110232,1 
"19","00100"," ",85868,0.7204 
"19","00100","43980",16667,0.1398 
"19","00100","44020",16667,0.1398 
"19","00200"," ",64829,0.5561 
"19","00200","32380",51749,0.4439 
"19","00400"," ",96400,0.7988 
"19","00400","47940",24276,0.2012 
"19","00500","47940",131090,1 
"19","00600"," ",81798,0.6184 
"19","00600","22700",38013,0.2874 
"19","00600","47940",12453,0.0942 
"19","00700"," ",58570,0.3848 
"19","00700","20220",93653,0.6152 
"19","00800"," ",18499,0.1412 
"19","00800","16300",20638,0.1575 
"19","00800","17540",49116,0.3749 
"19","00800","34700",42745,0.3263 
"19","00900","19340",165224,1 
"19","01000","16300",211226,1 
"19","01100","26980",130882,1 
"19","01200"," ",53036,0.4429 
"19","01200","16300",26076,0.2177 
"19","01200","32260",40648,0.3394 
"19","01300","11180",89542,0.7729 
"19","01300","14340",26306,0.2271 
"19","01400","19780",82672,0.541 
"19","01400","35500",36842,0.2411 
"19","01400","37800",33309,0.218 
"19","01500","19780",165663,1 
"19","01600","19780",117133,1 
"19","01700","19780",193211,1 
"19","01800"," ",95713,0.8973 
"19","01800","19780",10954,0.1027 
"19","01900"," ",82166,0.6667 
"19","01900","16140",20816,0.1689 
"19","01900","44740",20260,0.1644 
"19","02000","43580",127158,1 
"19","02100"," ",60236,0.3285 
"19","02100","36540",123145,0.6715 
"19","02200"," ",18081,0.1465 
"19","02200","21840",16843,0.1365 
"19","02200","26980",21704,0.1759 
"19","02200","36820",22381,0.1814 
"19","02200","36900",44378,0.3597 
"19","02300"," ",31532,0.2927 
"19","02300","15460",40325,0.3744 
"19","02300","22800",35862,0.3329 
"20","00100"," ",81655,0.7416 
"20","00100","25700",28452,0.2584 
"20","00200"," ",88084,0.5881 
"20","00200","41460",61697,0.4119 
"20","00300","27920",34362,0.2704 
"20","00300","31740",92719,0.7296 
"20","00400","11860",16924,0.1408 
"20","00400","28140",76227,0.6341 
"20","00400","41140",7945,0.0661 
"20","00400","45820",19126,0.1591 
"20","00500","28140",157505,1 
"20","00601","28140",110602,1 
"20","00602","28140",147902,1 
"20","00603","28140",149838,1 
"20","00604","28140",135837,1 
"20","00700","29940",110826,1 
"20","00801","45820",104280,1 
"20","00802"," ",9984,0.0829 
"20","00802","45820",110464,0.9171 
"20","00900"," ",55932,0.5069 
"20","00900","11680",20711,0.1877 
"20","00900","21380",33690,0.3053 
"20","01000"," ",10083,0.0972 
"20","01000","26740",64511,0.6216 
"20","01000","32700",29180,0.2812 
"20","01100"," ",42749,0.3622 
"20","01100","11680",15600,0.1322 
"20","01100","24460",27674,0.2345 
"20","01100","48620",31990,0.2711 
"20","01200"," ",40679,0.2943 
"20","01200","19980",33848,0.2449 
"20","01200","23780",40753,0.2948 
"20","01200","30580",22952,0.166 
"20","01301","48620",157515,1 
"20","01302","48620",157319,1 
"20","01303","48620",122883,1 
"20","01304","48620",161212,1 
"20","01400"," ",36646,0.3487 
"20","01400","28140",42443,0.4039 
"20","01400","36840",25992,0.2474 
"20","01500"," ",38115,0.2837 
"20","01500","17700",35471,0.2641 
"20","01500","37660",21607,0.1609 
"20","01500","38260",39134,0.2913 
"21","00100"," ",41454,0.2111 
"21","00100","32460",37121,0.189 
"21","00100","34660",37191,0.1894 
"21","00100","37140",73814,0.3758 
"21","00100","46460",6813,0.0347 
"21","00200"," ",22299,0.2023 
"21","00200","16420",31499,0.2857 
"21","00200","31580",46920,0.4256 
"21","00200","37140",9519,0.0864 
"21","00300"," ",20774,0.1905 
"21","00300","17300",88294,0.8095 
"21","00400"," ",73324,0.4303 
"21","00400","14540",44807,0.2629 
"21","00400","23980",52272,0.3068 
"21","00500","14540",113792,1 
"21","00600"," ",80562,0.7667 
"21","00600","15820",24512,0.2333 
"21","00700"," ",39119,0.3828 
"21","00700","43700",63063,0.6172 
"21","00800"," ",35224,0.317 
"21","00800","30940",58849,0.5296 
"21","00800","40080",17056,0.1535 
"21","00900"," ",29278,0.2333 
"21","00900","30940",67520,0.5381 
"21","00900","33180",28691,0.2286 
"21","01000"," ",114762,1 
"21","01100"," ",154093,1 
"21","01200"," ",31537,0.295 
"21","01200","12680",43437,0.4063 
"21","01200","21060",31939,0.2987 
"21","01300"," ",45805,0.2824 
"21","01300","21060",116399,0.7176 
"21","01400"," ",52470,0.4847 
"21","01400","21780",46250,0.4272 
"21","01400","36980",9531,0.088 
"21","01500","36980",105221,1 
"21","01600","31140",107074,1 
"21","01701","31140",124516,1 
"21","01702","31140",115136,1 
"21","01703","31140",106120,1 
"21","01704","31140",127433,1 
"21","01705","31140",122467,1 
"21","01706","31140",145424,1 
"21","01800","31140",110921,1 
"21","01901","30460",110761,1 
"21","01902","30460",185042,1 
"21","02000"," ",21331,0.1824 
"21","02000","23180",70706,0.6044 
"21","02000","30460",24939,0.2132 
"21","02100"," ",16912,0.1425 
"21","02100","19220",53174,0.4481 
"21","02100","30460",48586,0.4094 
"21","02200"," ",27285,0.2476 
"21","02200","40080",82916,0.7524 
"21","02300"," ",25981,0.2018 
"21","02300","30460",102771,0.7982 
"21","02400","17140",159720,1 
"21","02500","17140",118811,1 
"21","02600"," ",21652,0.1352 
"21","02600","17140",138464,0.8648 
"21","02700"," ",67756,0.4905 
"21","02700","17140",8488,0.0614 
"21","02700","32500",17490,0.1266 
"21","02700","34460",44396,0.3214 
"21","02800"," ",51432,0.373 
"21","02800","26580",86452,0.627 
"22","00100","43340",131071,1 
"22","00101","43340",123898,1 
"22","00200","43340",158186,1 
"22","00300"," ",64872,0.3648 
"22","00300","35060",39566,0.2225 
"22","00300","40820",46735,0.2628 
"22","00300","43340",26656,0.1499 
"22","00400","33740",153720,1 
"22","00500"," ",104606,0.6735 
"22","00500","12820",27979,0.1802 
"22","00500","33740",22721,0.1463 
"22","00600"," ",82683,0.6572 
"22","00600","10780",22309,0.1773 
"22","00600","35020",20822,0.1655 
"22","00700","10780",131613,0.7155 
"22","00700","22860",52334,0.2845 
"22","00800"," ",25764,0.1779 
"22","00800","19760",35654,0.2462 
"22","00800","29340",83420,0.576 
"22","00900","27660",31594,0.2138 
"22","00900","29340",116187,0.7862 
"22","01000"," ",33984,0.2896 
"22","01000","36660",83384,0.7104 
"22","01100","29180",119772,1 
"22","01200","29180",113860,1 
"22","01201","29180",107718,1 
"22","01300","29180",125400,0.6965 
"22","01300","34020",54650,0.3035 
"22","01400","12940",115869,1 
"22","01500","12940",125781,1 
"22","01501","12940",180733,1 
"22","01502","12940",133657,1 
"22","01600","12940",107215,1 
"22","01700","12940",139229,1 
"22","01800","14220",47168,0.2803 
"22","01800","25220",121097,0.7197 
"22","01900","35380",120806,1 
"22","02000"," ",23421,0.1956 
"22","02000","26380",96318,0.8044 
"22","02100","26380",111860,1 
"22","02200","35380",120069,1 
"22","02201","35380",113671,1 
"22","02300","35380",106823,1 
"22","02301","35380",136959,1 
"22","02302","35380",133622,1 
"22","02400","35380",119996,1 
"22","02401","35380",106546,1 
"22","02402","35380",117287,1 
"22","02500","35380",114087,1 
"23","00100"," ",104726,1 
"23","00200"," ",158364,1 
"23","00300","12620",153923,1 
"23","00400","12300",122151,1 
"23","00500"," ",167397,1 
"23","00600","30340",107702,1 
"23","00700","38860",103059,1 
"23","00800","38860",173683,1 
"23","00900","38860",128436,1 
"23","01000","38860",108920,1 
"24","00100"," ",30097,0.2861 
"24","00100","19060",75087,0.7139 
"24","00200","25180",147430,1 
"24","00301","47900",120513,1 
"24","00302","47900",112872,1 
"24","00400","12580",167134,1 
"24","00501","12580",118622,1 
"24","00502","12580",123997,1 
"24","00503","12580",112693,1 
"24","00504","12580",116249,1 
"24","00505","12580",109793,1 
"24","00506","12580",112670,1 
"24","00507","12580",111005,1 
"24","00601","12580",134113,1 
"24","00602","12580",110713,1 
"24","00700","37980",101108,1 
"24","00801","12580",139733,1 
"24","00802","12580",111436,1 
"24","00803","12580",120466,1 
"24","00804","12580",130707,1 
"24","00805","12580",118619,1 
"24","00901","12580",127318,1 
"24","00902","12580",159767,1 
"24","01001","47900",130995,1 
"24","01002","47900",128331,1 
"24","01003","47900",176640,1 
"24","01004","47900",178147,1 
"24","01005","47900",134896,1 
"24","01006","47900",115521,1 
"24","01007","47900",107247,1 
"24","01101","47900",114269,1 
"24","01102","47900",131621,1 
"24","01103","47900",106360,1 
"24","01104","47900",112946,1 
"24","01105","47900",166424,1 
"24","01106","47900",116791,1 
"24","01107","47900",115009,1 
"24","01201","12580",155071,1 
"24","01202","12580",109810,1 
"24","01203","12580",135138,1 
"24","01204","12580",137637,1 
"24","01300"," ",53263,0.3106 
"24","01300","12580",47798,0.2788 
"24","01300","15700",32618,0.1902 
"24","01300","20660",37782,0.2204 
"24","01400","41540",176657,1 
"24","01500","15680",105151,0.5423 
"24","01500","47900",88737,0.4577 
"24","01600","47900",146551,1 
"25","00100","38340",131219,1 
"25","00200","24640",71372,0.5862 
"25","00200","44140",50374,0.4138 
"25","00300","49340",181045,1 
"25","00301","49340",118668,1 
"25","00302","49340",120279,1 
"25","00303","49340",114169,1 
"25","00304","49340",151398,1 
"25","00400","14460",37284,0.3465 
"25","00400","49340",70330,0.6535 
"25","00501","14460",111178,1 
"25","00502","14460",106519,1 
"25","00503","14460",136206,1 
"25","00504","14460",139823,1 
"25","00505","14460",120862,1 
"25","00506","14460",105162,1 
"25","00507","14460",117421,1 
"25","00508","14460",115623,1 
"25","00701","14460",184511,1 
"25","00702","14460",105526,1 
"25","00703","14460",196427,1 
"25","00704","14460",107526,1 
"25","01000","14460",128979,1 
"25","01300","14460",124730,1 
"25","01400","14460",111782,0.958 
"25","01400","49340",4897,0.042 
"25","01600","44140",143568,1 
"25","01900","44140",153060,1 
"25","01901","44140",147305,1 
"25","01902","44140",127263,1 
"25","02400","14460",77732,0.673 
"25","02400","49340",37766,0.327 
"25","02800","14460",138100,1 
"25","03301","14460",117638,1 
"25","03302","14460",142236,1 
"25","03303","14460",109690,1 
"25","03304","14460",125342,1 
"25","03305","14460",122162,1 
"25","03306","14460",104955,1 
"25","03400","14460",143878,1 
"25","03500","14460",105449,1 
"25","03601","14460",128696,1 
"25","03602","14460",117795,1 
"25","03603","14460",119274,1 
"25","03900","14460",129479,1 
"25","04000","14460",125128,1 
"25","04200","14460",8264,0.0679 
"25","04200","39300",113500,0.9321 
"25","04301","14460",38006,0.3561 
"25","04301","39300",68737,0.6439 
"25","04302","39300",107022,1 
"25","04303","39300",124969,1 
"25","04500","39300",110945,1 
"25","04700","12700",131159,1 
"25","04800"," ",10172,0.0913 
"25","04800","12700",84729,0.7603 
"25","04800","47240",16535,0.1484 
"25","04901","14460",95236,0.8047 
"25","04901","39300",23112,0.1953 
"25","04902","14460",107996,1 
"25","04903","14460",127421,1 
"26","00100"," ",43884,0.2495 
"26","00100","26340",38784,0.2205 
"26","00100","27020",26168,0.1488 
"26","00100","32100",67077,0.3813 
"26","00200"," ",35830,0.2645 
"26","00200","21540",37069,0.2737 
"26","00200","31940",24029,0.1774 
"26","00200","42300",38520,0.2844 
"26","00300"," ",107113,0.7835 
"26","00300","10980",29598,0.2165 
"26","00400"," ",82223,0.5595 
"26","00400","15620",47584,0.3238 
"26","00400","45900",17153,0.1167 
"26","00500"," ",24733,0.1638 
"26","00500","45900",126219,0.8362 
"26","00600"," ",86569,0.751 
"26","00600","31220",28705,0.249 
"26","00700","34740",172188,1 
"26","00801","24340",140248,1 
"26","00802","24340",123553,1 
"26","00900","26090",111408,1 
"26","01001","24340",139528,1 
"26","01002","24340",188822,1 
"26","01003","24340",157738,1 
"26","01004","24340",116534,1 
"26","01100"," ",23528,0.1215 
"26","01100","13660",42798,0.2211 
"26","01100","24340",63342,0.3272 
"26","01100","26960",63905,0.3301 
"26","01200"," ",30926,0.2152 
"26","01200","10940",42476,0.2956 
"26","01200","34380",70311,0.4892 
"26","01300"," ",113626,1 
"26","01400","13020",107771,0.5631 
"26","01400","33220",83629,0.4369 
"26","01500","40980",200169,1 
"26","01600"," ",131961,1 
"26","01701","19820",88319,0.4715 
"26","01701","22420",99006,0.5285 
"26","01702","22420",108086,1 
"26","01703","22420",102438,1 
"26","01704","22420",116260,0.622 
"26","01704","37020",70648,0.378 
"26","01801","29620",167026,1 
"26","01802","29620",113869,1 
"26","01900","29620",183141,1 
"26","02000","12980",136146,0.697 
"26","02000","24340",59173,0.303 
"26","02101","28020",129163,1 
"26","02102","28020",121168,1 
"26","02200","17740",45248,0.4247 
"26","02200","44780",61295,0.5753 
"26","02300","28020",76258,0.5932 
"26","02300","43780",52293,0.4068 
"26","02400","35660",156813,1 
"26","02500","10300",99892,0.6815 
"26","02500","25880",46688,0.3185 
"26","02600","27100",160248,1 
"26","02701","11460",105869,1 
"26","02702","11460",115103,1 
"26","02703","11460",123819,1 
"26","02800","19820",180967,1 
"26","02901","19820",127871,1 
"26","02902","19820",129788,1 
"26","02903","19820",163887,1 
"26","02904","19820",153492,1 
"26","02905","19820",119274,1 
"26","02906","19820",151575,1 
"26","02907","19820",165926,1 
"26","02908","19820",190549,1 
"26","03001","19820",119113,1 
"26","03002","19820",158141,1 
"26","03003","19820",129699,1 
"26","03004","19820",152177,1 
"26","03005","19820",139535,1 
"26","03006","19820",142313,1 
"26","03100","19820",163040,1 
"26","03201","19820",190877,1 
"26","03202","19820",145304,1 
"26","03203","19820",155927,1 
"26","03204","19820",154748,1 
"26","03205","19820",112548,1 
"26","03206","19820",133082,1 
"26","03207","19820",120367,1 
"26","03208","19820",160120,1 
"26","03209","19820",132104,1 
"26","03210","19820",134150,1 
"26","03211","19820",128838,1 
"26","03212","19820",133146,1 
"26","03213","19820",119373,1 
"26","03300","33780",152021,1 
"27","00100"," ",54491,0.3756 
"27","00100","22020",58999,0.4066 
"27","00100","24220",31600,0.2178 
"27","00200"," ",71085,0.6153 
"27","00200","13420",44442,0.3847 
"27","00300"," ",16202,0.1327 
"27","00300","14660",28567,0.234 
"27","00300","20260",32277,0.2643 
"27","00300","24330",45058,0.369 
"27","00400"," ",29353,0.2232 
"27","00400","20260",102148,0.7768 
"27","00500","20260",101187,1 
"27","00600"," ",45989,0.2808 
"27","00600","33460",117800,0.7192 
"27","00700"," ",71936,0.5351 
"27","00700","14660",62500,0.4649 
"27","00800"," ",45349,0.3122 
"27","00800","10820",36009,0.2479 
"27","00800","22260",57303,0.3945 
"27","00800","47420",6576,0.0453 
"27","00900","41060",150642,1 
"27","01000","33460",88499,0.6971 
"27","01000","41060",38451,0.3029 
"27","01101","33460",103192,1 
"27","01102","33460",115158,1 
"27","01103","33460",112494,1 
"27","01201","33460",124434,1 
"27","01202","33460",113702,1 
"27","01301","33460",122961,1 
"27","01302","33460",100611,1 
"27","01303","33460",128300,1 
"27","01304","33460",156768,1 
"27","01401","33460",107488,1 
"27","01402","33460",103598,1 
"27","01403","33460",107104,1 
"27","01404","33460",106918,1 
"27","01405","33460",134723,1 
"27","01406","33460",125251,1 
"27","01407","33460",127765,1 
"27","01408","33460",110782,1 
"27","01409","33460",110531,1 
"27","01410","33460",118265,1 
"27","01501","33460",150199,1 
"27","01502","33460",138957,1 
"27","01503","33460",109396,1 
"27","01600","33460",115560,1 
"27","01700","33460",105410,1 
"27","01800","33460",124700,1 
"27","01900"," ",39030,0.2931 
"27","01900","26780",36651,0.2753 
"27","01900","33460",15226,0.1144 
"27","01900","48820",42239,0.3172 
"27","02000"," ",52093,0.5017 
"27","02000","32140",25857,0.249 
"27","02000","35580",25893,0.2493 
"27","02100"," ",75725,0.642 
"27","02100","21860",20840,0.1767 
"27","02100","49380",21378,0.1813 
"27","02200"," ",19136,0.1651 
"27","02200","31860",96740,0.8349 
"27","02300","22060",64142,0.4647 
"27","02300","33460",27703,0.2007 
"27","02300","39860",46183,0.3346 
"27","02400","10660",31255,0.2459 
"27","02400","12380",39163,0.3082 
"27","02400","36940",36576,0.2878 
"27","02400","40340",20087,0.1581 
"27","02500","40340",144248,1 
"27","02600","29100",19027,0.1683 
"27","02600","40340",42542,0.3764 
"27","02600","49100",51461,0.4553 
"28","00100","32820",161252,1 
"28","00200"," ",67101,0.4472 
"28","00200","18420",37057,0.247 
"28","00200","32820",45873,0.3058 
"28","00300"," ",58308,0.4698 
"28","00300","17260",26151,0.2107 
"28","00300","32820",39664,0.3196 
"28","00400"," ",69343,0.495 
"28","00400","37060",47351,0.338 
"28","00400","46180",23401,0.167 
"28","00500"," ",27134,0.1938 
"28","00500","46180",112867,0.8062 
"28","00600"," ",49543,0.2789 
"28","00600","18060",59779,0.3365 
"28","00600","44260",47671,0.2684 
"28","00600","48500",20634,0.1162 
"28","00700"," ",62365,0.4903 
"28","00700","24900",42914,0.3374 
"28","00700","24980",21906,0.1722 
"28","00800"," ",15697,0.1203 
"28","00800","17380",34145,0.2618 
"28","00800","24740",51137,0.3921 
"28","00800","26940",29450,0.2258 
"28","00900","27140",102275,1 
"28","01000","27140",110253,1 
"28","01100","27140",128992,1 
"28","01200","27140",56482,0.5366 
"28","01200","46980",48773,0.4634 
"28","01300","27140",169120,1 
"28","01400"," ",98236,0.7812 
"28","01400","29860",17062,0.1357 
"28","01400","32940",10456,0.0831 
"28","01500"," ",21720,0.183 
"28","01500","32940",96993,0.817 
"28","01600"," ",54094,0.2934 
"28","01600","15020",34869,0.1891 
"28","01600","32620",53535,0.2903 
"28","01600","35020",32297,0.1751 
"28","01600","46980",9604,0.0521 
"28","01700"," ",67202,0.4979 
"28","01700","29860",67761,0.5021 
"28","01800"," ",27088,0.1594 
"28","01800","25620",142842,0.8406 
"28","01900"," ",40364,0.2881 
"28","01900","25060",43929,0.3135 
"28","01900","38100",55834,0.3985 
"28","02000","25060",187105,1 
"28","02100","25060",139668,1 
"29","00100"," ",90591,0.7949 
"29","00100","32340",23370,0.2051 
"29","00200","41140",119384,1 
"29","00300"," ",39753,0.3153 
"29","00300","22800",7139,0.0566 
"29","00300","25300",38948,0.3089 
"29","00300","28860",30038,0.2382 
"29","00300","39500",10211,0.081 
"29","00400"," ",30752,0.2175 
"29","00400","33020",25529,0.1806 
"29","00400","41180",85079,0.6019 
"29","00500","27620",149807,1 
"29","00600","17860",162642,1 
"29","00700"," ",44871,0.3303 
"29","00700","32180",23370,0.172 
"29","00700","33620",25414,0.1871 
"29","00700","42740",42201,0.3106 
"29","00800","28140",87042,0.6233 
"29","00800","47660",52595,0.3767 
"29","00901","28140",104122,1 
"29","00902","28140",106591,1 
"29","00903","28140",100548,1 
"29","01001","28140",171238,1 
"29","01002","28140",128212,1 
"29","01003","28140",129435,1 
"29","01004","28140",102460,1 
"29","01005","28140",142813,1 
"29","01100","28140",116527,1 
"29","01200"," ",126137,1 
"29","01300"," ",28683,0.2557 
"29","01300","30060",35571,0.3171 
"29","01300","44180",47914,0.4272 
"29","01400"," ",89315,0.6308 
"29","01400","22780",52274,0.3692 
"29","01500"," ",64751,0.5891 
"29","01500","40620",45156,0.4109 
"29","01600","41180",101492,1 
"29","01701","41180",103443,1 
"29","01702","41180",128574,1 
"29","01703","41180",128468,1 
"29","01801","41180",123587,1 
"29","01802","41180",125717,1 
"29","01803","41180",111745,1 
"29","01804","41180",111804,1 
"29","01805","41180",117896,1 
"29","01806","41180",114062,1 
"29","01807","41180",158559,1 
"29","01808","41180",135584,1 
"29","01901","41180",136154,1 
"29","01902","41180",183140,1 
"29","02001","41180",109471,1 
"29","02002","41180",109262,1 
"29","02100"," ",62311,0.4881 
"29","02100","22100",65359,0.5119 
"29","02200","16020",88037,0.692 
"29","02200","43460",39191,0.308 
"29","02300"," ",81578,0.7186 
"29","02300","28380",31953,0.2814 
"29","02400"," ",63438,0.5972 
"29","02400","38740",42794,0.4028 
"29","02500"," ",87552,0.6843 
"29","02500","48460",40400,0.3157 
"29","02601","44180",152153,1 
"29","02602","44180",117647,1 
"29","02603","44180",118998,1 
"29","02700"," ",35597,0.2497 
"29","02700","14700",83877,0.5884 
"29","02700","22220",23083,0.1619 
"29","02800","27900",175518,1 
"30","00100"," ",33086,0.2668 
"30","00100","28060",90928,0.7332 
"30","00200"," ",84594,0.4363 
"30","00200","33540",109299,0.5637 
"30","00300"," ",41953,0.2779 
"30","00300","15580",34200,0.2266 
"30","00300","25740",74801,0.4955 
"30","00400"," ",66500,0.4499 
"30","00400","24500",81327,0.5501 
"30","00500"," ",28404,0.2219 
"30","00500","13740",10078,0.0787 
"30","00500","14580",89513,0.6993 
"30","00600"," ",95876,0.6787 
"30","00600","13740",45383,0.3213 
"30","00700","13740",103473,1 
"31","00100"," ",72560,0.6506 
"31","00100","42420",38971,0.3494 
"31","00200"," ",76525,0.4158 
"31","00200","18100",32237,0.1752 
"31","00200","35740",48271,0.2623 
"31","00200","43580",27006,0.1467 
"31","00300"," ",24866,0.233 
"31","00300","24260",81850,0.767 
"31","00400"," ",42414,0.3987 
"31","00400","30420",26370,0.2479 
"31","00400","35820",37590,0.3534 
"31","00500"," ",30690,0.2677 
"31","00500","25580",31364,0.2736 
"31","00500","28260",52591,0.4587 
"31","00600"," ",99672,0.7184 
"31","00600","13100",22311,0.1608 
"31","00600","30700",16750,0.1207 
"31","00701","23340",36691,0.3564 
"31","00701","36540",66255,0.6436 
"31","00702","36540",158840,1 
"31","00801","30700",153890,1 
"31","00802","30700",131517,1 
"31","00901","36540",161488,1 
"31","00902","36540",140508,1 
"31","00903","36540",107029,1 
"31","00904","36540",108085,1 
"32","00101","39900",177318,1 
"32","00102","39900",107562,1 
